Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
69,Joel Embiid,embiijo01,2017,2020,PHI,NBA,30.6,202,202,6181,12.6,26.3,10.7,20.6,1.8,5.7,10.7,13.5,3.8,14.3,18.0,4.9,1.2,2.8,5.5,5.3,37.7,.479,.523,.322,.514,.794,.586
70,Lauri Markkanen,markkla01,2018,2020,CHI,NBA,30.6,170,169,5194,9.0,21.0,5.5,11.2,3.5,9.8,4.1,4.8,2.0,10.1,12.1,2.1,1.1,0.9,2.3,3.0,25.6,.430,.495,.356,.513,.848,.555
71,Paul Millsap,millspa01,2015,2020,TOT,NBA,30.6,375,364,11493,9.0,19.3,7.4,14.6,1.6,4.6,5.5,7.3,3.3,9.0,12.3,4.6,2.3,1.7,3.2,4.5,25.1,.468,.507,.347,.510,.755,.560
72,Ricky Rubio,rubiori01,2015,2020,TOT,NBA,30.5,375,374,11439,6.3,15.7,4.7,10.7,1.6,5.0,5.0,5.9,1.1,5.9,7.0,12.4,2.7,0.2,4.3,4.3,19.2,.400,.435,.326,.452,.860,.527
73,RJ Barrett,barrerj01,2020,2020,NYK,NBA,30.4,56,55,1704,8.3,20.8,6.5,15.1,1.8,5.6,4.5,7.3,1.4,6.5,8.0,4.1,1.6,0.5,3.5,3.5,22.9,.402,.432,.320,.445,.614,.479
74,Robert Covington,covinro01,2015,2020,TOT,NBA,30.4,381,340,11580,6.9,16.9,3.1,6.3,3.8,10.6,3.1,3.8,1.5,7.7,9.2,2.4,2.7,1.4,2.8,4.9,20.6,.407,.488,.358,.519,.811,.555
75,Shai Gilgeous-Alexander,gilgesh01,2019,2020,TOT,NBA,30.3,145,136,4388,8.6,18.0,7.1,14.1,1.4,3.9,4.5,5.6,1.1,5.6,6.7,5.2,1.8,1.0,2.8,3.1,23.0,.474,.507,.357,.513,.801,.561
76,P.J. Washington,washipj01,2020,2020,CHO,NBA,30.3,58,57,1759,7.6,16.8,5.2,10.2,2.4,6.6,2.5,3.9,1.7,7.3,9.0,3.5,1.5,1.3,2.6,4.5,20.2,.455,.507,.374,.528,.647,.547
77,De'Aaron Fox,foxde01,2018,2020,SAC,NBA,30.1,199,184,5998,9.4,20.9,7.9,16.6,1.5,4.3,5.3,7.4,0.9,4.7,5.6,9.8,2.2,0.7,4.4,4.0,25.5,.448,.478,.335,.483,.718,.528
78,Kyle Kuzma,kuzmaky01,2018,2020,LAL,NBA,30.1,201,112,6042,9.5,21.2,6.7,12.7,2.8,8.5,3.4,4.6,1.5,7.1,8.7,3.0,0.9,0.6,2.8,3.4,25.2,.449,.531,.327,.515,.733,.542
