Player,Pos,Tm,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
RJ Barrett,SG,NYK,8.3,20.8,6.5,15.1,1.8,5.6,4.5,7.3,1.4,6.5,8,4.1,1.6,0.5,3.5,3.5,22.9,0.402,0.432,0.32,0.445,0.614,0.479
Will Barton,SF,DEN,8.5,19.3,5.9,12.3,2.5,7.1,3.5,4.5,1.5,7.1,8.6,5.3,1.5,0.9,2.7,3.2,23,0.438,0.485,0.357,0.503,0.786,0.54
Nicolas Batum,SF,CHO,6.3,15.2,3.9,8.1,2.4,7,2.8,3.3,1.3,7.3,8.6,7.5,1.5,0.8,3.2,2.4,17.8,0.416,0.478,0.344,0.496,0.852,0.536
Kent Bazemore,SF-SG,TOT,7,17,4.6,10,2.5,7,3.3,4.4,0.8,6.7,7.6,4.2,2.3,1.2,3.3,4.5,19.8,0.413,0.455,0.353,0.486,0.745,0.523
Bradley Beal,SG,WAS,11.4,24.7,8,15.7,3.4,9,5.3,6.6,1.2,4.5,5.6,6,1.7,0.6,3.4,3.1,31.5,0.461,0.51,0.376,0.53,0.81,0.571
Patrick Beverley,PG,LAC,5.4,13,2.6,5.7,2.8,7.3,1.6,2.1,1.9,6,7.9,6.2,2,0.7,2.3,5.5,15.2,0.414,0.453,0.383,0.522,0.743,0.543
Eric Bledsoe,PG,MIL,9.5,20.6,7.3,14.1,2.2,6.5,5.8,7.2,1.3,5.8,7,8.7,2.4,0.8,4.5,3.5,27,0.461,0.518,0.339,0.515,0.806,0.569
Bogdan Bogdanović,SG,SAC,8.5,19.6,5,10.3,3.5,9.3,2.7,3.3,0.8,4.7,5.5,6,1.7,0.4,2.9,3.7,23.1,0.432,0.488,0.37,0.52,0.803,0.547
Bojan Bogdanović,SF,UTA,8.7,18.8,5.4,10.5,3.3,8.3,4.1,4.8,0.8,5.2,6,2.6,1,0.1,2.7,2.8,24.7,0.46,0.513,0.394,0.547,0.858,0.59
Devin Booker,SG,PHO,11,24.5,8.2,16.6,2.8,7.9,7.1,8.2,0.7,4.4,5.2,6.7,1.1,0.4,4.7,4.4,31.9,0.447,0.49,0.355,0.504,0.868,0.566
Avery Bradley,SG,LAL,8.3,19.1,5.7,12,2.6,7.2,1.6,2,1,4.1,5.2,3.1,1.7,0.3,2.3,3.7,20.9,0.436,0.478,0.364,0.504,0.782,0.521
Mikal Bridges,SF,PHO,5.1,11,3.3,5.7,1.8,5.4,2.1,2.5,1.3,4.6,5.9,3.3,2.5,0.9,1.5,3.9,14.2,0.466,0.584,0.341,0.549,0.825,0.585
Miles Bridges,SF,CHO,7.4,16.9,5.2,10.2,2.2,6.7,2.2,2.8,2.1,7.1,9.2,2.8,1.3,1.3,1.9,3.3,19.3,0.44,0.513,0.328,0.505,0.788,0.531
Malcolm Brogdon,PG,IND,8.7,18.5,6.5,12.7,2.2,5.8,3.4,3.8,1.3,5.2,6.4,7.4,1.5,0.3,2.8,3.3,23.1,0.472,0.511,0.385,0.532,0.895,0.572
Dillon Brooks,SG,MEM,8.2,19.6,5.6,12.5,2.6,7.1,3.1,4,1.3,4.1,5.4,3,1.5,0.5,2.7,5.7,22.1,0.418,0.449,0.364,0.485,0.775,0.518
Jaylen Brown,SF,BOS,9,19.2,6.5,12.4,2.5,6.9,3.6,5.3,1.6,6.7,8.3,2.7,1.6,0.6,2.8,4.6,24.3,0.47,0.526,0.37,0.536,0.68,0.562
Jimmy Butler,SF,MIA,9.4,20.5,8,16.3,1.4,4.1,8.7,10.3,2.2,5.7,7.9,6.5,2.5,0.7,2.5,2.2,28.9,0.46,0.49,0.341,0.494,0.846,0.579
Kentavious Caldwell-Pope,SG,LAL,7.2,17.2,4.3,9,2.9,8.2,2.9,3.6,1.1,4.3,5.4,2.9,1.8,0.3,1.8,3,20.2,0.42,0.481,0.352,0.503,0.799,0.537
Clint Capela,C,HOU,9.9,15.6,9.9,15.6,0,0,3,5.8,6.1,12,18.1,1.8,1.3,2.7,2.3,4.7,22.8,0.634,0.635,0,0.634,0.526,0.629
Wendell Carter Jr.,C,CHI,7.4,14.6,7.2,13.3,0.2,1.2,4.1,5.4,4.6,9.9,14.5,2.6,1.2,1.9,2.8,6.4,19.2,0.508,0.538,0.197,0.517,0.761,0.566
Wilson Chandler,SF,BRK,7.3,16.9,4.8,9.6,2.5,7.3,2.2,2.9,1.9,7.1,9,3,1.1,0.7,2.1,4.3,19.4,0.435,0.503,0.345,0.509,0.749,0.534
Jordan Clarkson,SG,TOT,10.4,23.2,7.7,15.3,2.7,7.8,3.5,4.3,1.6,4.2,5.8,4.7,1.6,0.2,3,3,26.9,0.447,0.502,0.341,0.505,0.818,0.537
John Collins,PF,ATL,10.7,18.8,9.5,15.5,1.2,3.3,4.3,5.7,4.8,9.9,14.7,2.6,0.9,1.8,2.8,5.2,27,0.571,0.615,0.369,0.604,0.757,0.634
Mike Conley,PG,UTA,9.5,21.9,6.5,13.7,3.1,8.2,6.1,7.2,0.8,4.3,5.1,9.2,1.9,0.4,3.1,3,28.2,0.436,0.471,0.378,0.507,0.843,0.564
Robert Covington,PF,TOT,6.9,16.9,3.1,6.3,3.8,10.6,3.1,3.8,1.5,7.7,9.2,2.4,2.7,1.4,2.8,4.9,20.6,0.407,0.488,0.358,0.519,0.811,0.555
Jae Crowder,SF,TOT,6.8,16.2,3.9,7.5,2.9,8.7,3.3,4.2,1.4,6.9,8.3,3.1,1.9,0.6,1.7,3.9,19.9,0.421,0.518,0.337,0.511,0.789,0.551
Stephen Curry,PG,GSW,12.9,26.7,6.5,12,6.4,14.7,6.3,6.9,1.1,6,7.1,9.5,2.6,0.3,4.4,3.2,38.4,0.484,0.548,0.432,0.603,0.912,0.647
Anthony Davis,PF,LAL,13.4,26,12.6,23.3,0.9,2.7,8.6,10.7,3.4,11.6,15,3.5,2,3.4,2.9,3.1,36.4,0.516,0.538,0.323,0.533,0.807,0.592
DeMar DeRozan,SF,SAS,11.7,25.3,11,22.9,0.7,2.4,8.7,10.4,1.1,6,7.1,6.8,1.5,0.4,3.4,3,32.9,0.464,0.482,0.293,0.478,0.838,0.551
Spencer Dinwiddie,SG,BRK,7.8,18.9,5.2,10.8,2.6,8.1,6.1,7.6,0.8,4.4,5.2,9.3,1.3,0.5,3.3,4.4,24.2,0.41,0.48,0.318,0.479,0.793,0.542
Luka Dončić,PG,DAL,12,27,8.2,15.2,3.8,11.8,8.4,11.5,1.8,10.7,12.5,10.6,1.6,0.4,5.6,3.2,36.2,0.443,0.537,0.322,0.514,0.733,0.564
