Rk,Player,Ind,From,To,Tm,Lg,MPG,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
12,LaMarcus Aldridge,aldrila01,2007,2020,TOT,NBA,34.4,1003,962,34518,12.0,24.4,11.7,23.5,0.3,0.9,5.4,6.7,4.1,8.6,12.6,3.0,1.1,1.7,2.4,3.7,29.6,.491,.498,.312,.497,.811,.543
13,Ben Simmons,simmobe01,2018,2020,PHI,NBA,34.4,214,214,7362,9.4,16.8,9.4,16.6,0.0,0.1,4.1,6.9,2.8,8.8,11.6,11.1,2.4,1.1,4.8,3.9,22.9,.561,.565,.087,.562,.594,.579
14,Karl-Anthony Towns,townska01,2016,2020,MIN,NBA,34.4,358,358,12307,12.3,23.1,10.3,17.9,2.0,5.1,5.9,7.2,4.5,12.4,16.9,4.0,1.1,2.1,3.6,4.7,32.6,.534,.573,.396,.578,.831,.622
15,Stephen Curry,curryst01,2010,2020,GSW,NBA,34.3,699,693,23998,11.6,24.4,6.5,12.6,5.1,11.7,5.2,5.8,1.0,5.5,6.5,9.4,2.5,0.3,4.5,3.5,33.5,.476,.515,.435,.581,.906,.623
16,James Harden,hardeja01,2010,2020,TOT,NBA,34.3,826,613,28347,10.7,24.1,6.6,13.1,4.0,11.0,10.9,12.7,1.1,6.5,7.7,9.1,2.3,0.8,5.3,3.8,36.2,.442,.509,.363,.525,.858,.610
17,DeMar DeRozan,derozde01,2010,2020,TOT,NBA,34.2,813,801,27765,10.8,23.6,10.1,21.4,0.6,2.2,7.8,9.4,1.1,5.4,6.5,5.3,1.5,0.4,3.1,3.4,30.0,.457,.475,.283,.470,.829,.541
18,Kemba Walker,walkeke02,2012,2020,TOT,NBA,33.9,655,610,22199,10.3,24.5,7.0,15.4,3.3,9.2,5.9,7.0,0.9,4.9,5.7,8.1,1.9,0.6,3.2,2.2,29.7,.418,.453,.360,.485,.838,.538
19,Kyrie Irving,irvinky01,2012,2020,TOT,NBA,33.8,528,528,17827,12.4,26.6,9.2,18.4,3.2,8.2,5.8,6.6,1.2,4.4,5.6,8.6,2.0,0.5,4.0,3.3,33.7,.466,.499,.390,.526,.877,.572
20,Donovan Mitchell,mitchdo01,2018,2020,UTA,NBA,33.8,219,211,7401,12.0,27.3,8.5,17.4,3.5,9.9,5.3,6.5,1.0,4.8,5.9,5.8,1.9,0.5,4.0,3.8,32.8,.440,.489,.355,.504,.821,.545
21,Dwight Howard,howardw01,2005,2020,TOT,NBA,33.6,1106,1045,37177,9.3,15.8,9.3,15.7,0.0,0.1,7.1,12.5,5.3,13.5,18.8,2.2,1.4,2.9,4.3,4.9,25.6,.586,.589,.132,.586,.565,.601
22,Devin Booker,bookede01,2016,2020,PHO,NBA,33.5,334,309,11186,11.0,24.5,8.2,16.6,2.8,7.9,7.1,8.2,0.7,4.4,5.2,6.7,1.1,0.4,4.7,4.4,31.9,.447,.490,.355,.504,.868,.566
23,Paul George,georgpa01,2011,2020,TOT,NBA,33.5,646,598,21646,10.1,23.3,6.5,13.7,3.6,9.6,6.0,7.1,1.4,8.2,9.6,5.0,2.6,0.7,3.9,4.0,29.8,.433,.470,.380,.511,.846,.564
24,Pau Gasol,gasolpa01,2002,2019,TOT,NBA,33.4,1226,1150,41001,10.1,19.9,9.9,19.3,0.2,0.6,6.0,8.0,3.9,10.4,14.3,5.0,0.8,2.5,3.3,3.3,26.4,.507,.512,.368,.513,.753,.565
25,Jrue Holiday,holidjr01,2010,2020,TOT,NBA,33.3,707,634,23508,9.5,20.9,7.5,15.4,2.0,5.5,3.1,4.0,1.3,4.6,5.9,9.7,2.3,0.8,4.1,3.5,24.0,.452,.488,.355,.499,.777,.529
26,Marc Gasol,gasolma01,2009,2020,TOT,NBA,33.2,831,816,27555,8.5,17.7,7.8,15.7,0.7,2.0,5.2,6.7,2.6,9.4,11.9,5.4,1.4,2.2,3.2,4.5,23.0,.482,.497,.356,.501,.777,.556
27,Rudy Gay,gayru01,2007,2020,TOT,NBA,33.2,939,777,31175,10.0,21.9,8.4,17.4,1.6,4.6,4.8,6.0,2.1,6.9,9.1,3.4,1.9,1.2,3.4,3.7,26.3,.456,.484,.345,.491,.798,.536
28,Andre Iguodala,iguodan01,2005,2020,TOT,NBA,33.2,1122,779,37293,6.7,14.3,5.3,10.2,1.4,4.1,3.8,5.4,1.4,6.3,7.8,6.6,2.3,0.8,2.9,2.8,18.5,.466,.519,.334,.514,.709,.555
29,Jimmy Butler,butleji01,2012,2020,TOT,NBA,33.1,577,472,19080,8.5,18.7,7.1,14.7,1.3,4.0,7.8,9.4,2.3,5.5,7.8,5.7,2.4,0.7,2.3,2.2,26.1,.454,.487,.333,.490,.835,.572
30,Klay Thompson,thompkl01,2012,2019,GSW,NBA,33.1,615,578,20340,10.9,23.7,6.5,13.4,4.3,10.4,2.8,3.3,0.7,4.5,5.1,3.4,1.4,0.8,2.5,3.2,28.9,.459,.491,.419,.551,.848,.575
31,Victor Oladipo,oladivi01,2014,2020,TOT,NBA,33.0,415,355,13697,9.7,22.0,7.4,15.3,2.3,6.7,4.6,5.8,0.9,6.0,7.0,6.0,2.5,0.7,3.9,3.6,26.4,.441,.481,.350,.494,.793,.537
