Rk,Player,From,To,Tm,Lg,MPG,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
490,Nassir Little,2020,2020,POR,NBA,11.9,48,5,573,9.7,.391,.291,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,108,115,0.3,0.3,0.6,.050,-2.9,-0.6,-3.5,-0.2
491,Salah Mejri,2016,2019,DAL,NBA,11.9,204,22,2430,16.3,.088,.442,11.6,26.1,18.6,5.8,1.5,6.8,18.2,12.7,119,102,3.7,4.3,8.1,.159,-2.2,2.3,0.1,1.3
492,Lorenzo Brown,2014,2019,TOT,NBA,11.5,103,7,1185,9.0,.314,.121,2.6,11.7,7.1,22.7,2.5,1.0,17.2,15.7,89,109,-1.1,0.9,-0.2,-.007,-3.9,0.4,-3.5,-0.5
493,Edmond Sumner,2018,2020,IND,NBA,11.4,49,4,557,9.2,.369,.222,3.8,8.4,6.2,11.9,2.4,2.1,13.1,17.5,95,108,-0.4,0.7,0.4,.033,-4.4,0.5,-3.9,-0.3
494,Marko Guduric,2020,2020,MEM,NBA,11.3,42,0,476,8.8,.526,.162,3.1,12.3,7.8,12.4,1.2,1.5,17.9,17.6,97,113,-0.2,0.4,0.1,.012,-2.6,-0.8,-3.4,-0.2
495,Ty Jerome,2020,2020,PHO,NBA,11.3,28,0,315,8.1,.443,.132,2.1,12.6,7.2,18.8,2.1,0.8,13.8,17.6,93,112,-0.3,0.3,0.0,-.002,-3.9,0.0,-3.8,-0.1
496,Theo Pinson,2019,2020,BRK,NBA,11.3,51,0,576,6.3,.553,.167,2.6,13.5,8.1,19.1,1.9,0.6,17.2,21.5,85,109,-1.2,0.7,-0.5,-.045,-5.7,0.0,-5.6,-0.5
497,Isaac Humphries,2019,2019,ATL,NBA,11.2,5,1,56,3.4,.524,.000,7.4,13.4,10.3,0.0,0.8,0.0,0.0,15.2,87,117,-0.1,0.0,-0.1,-.047,-6.2,-4.7,-11.0,-0.1
498,Tyler Cavanaugh,2018,2019,TOT,NBA,11.1,50,1,557,12.4,.580,.142,9.6,17.4,13.5,7.5,0.8,0.6,8.0,14.7,117,112,0.9,0.3,1.2,.104,-0.8,-1.6,-2.4,-0.1
499,John Konchar,2020,2020,MEM,NBA,11.1,15,0,167,19.0,.257,.057,11.5,17.3,14.4,16.7,2.0,1.6,14.3,10.4,143,110,0.5,0.2,0.7,.195,2.7,2.2,5.0,0.3
500,Romeo Langford,2020,2020,BOS,NBA,11.0,27,1,298,6.0,.359,.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,98,110,-0.1,0.3,0.2,.039,-4.5,-0.1,-4.6,-0.2
501,Zhaire Smith,2019,2020,PHI,NBA,11.0,13,2,143,7.6,.422,.267,2.3,8.7,5.6,11.4,1.7,1.1,13.7,17.2,95,111,-0.1,0.1,0.0,.011,-4.6,-1.5,-6.1,-0.1
502,Robert Williams,2019,2020,BOS,NBA,11.0,55,3,606,19.2,.000,.354,10.8,22.5,16.7,6.6,2.3,10.1,18.7,11.4,127,99,1.1,1.5,2.6,.203,-1.1,3.9,2.9,0.7
503,Alex Poythress,2017,2019,TOT,NBA,10.9,52,2,566,11.7,.329,.242,8.8,14.4,11.6,6.1,0.8,2.0,9.2,14.6,115,113,0.7,0.3,1.0,.086,-2.2,-1.4,-3.6,-0.2
504,Admiral Schofield,2020,2020,WAS,NBA,10.9,27,2,293,6.8,.627,.173,2.2,10.9,6.4,6.2,1.3,0.9,8.0,12.5,105,118,0.1,0.0,0.1,.020,-4.2,-1.1,-5.3,-0.2
505,Eric Moreland,2015,2019,TOT,NBA,10.8,83,3,898,13.3,.007,.243,10.6,27.7,19.0,12.6,1.8,5.5,24.9,9.8,109,101,0.6,1.7,2.3,.124,-3.0,3.1,0.1,0.5
506,Ryan Broekhoff,2019,2020,DAL,NBA,10.7,59,1,633,11.4,.778,.146,2.2,15.4,8.9,7.5,0.8,1.1,10.1,14.8,116,112,0.7,0.5,1.2,.095,-0.2,-0.3,-0.5,0.2
507,Sindarius Thornwell,2018,2019,LAC,NBA,10.7,137,18,1469,7.6,.270,.433,2.9,10.6,6.8,7.7,2.0,1.8,17.9,12.0,98,111,-0.2,1.2,1.0,.034,-3.9,1.0,-2.9,-0.3
508,Chris Boucher,2018,2020,TOT,NBA,10.6,84,0,888,20.2,.407,.350,13.4,22.1,17.9,4.2,1.4,8.0,7.2,20.2,120,101,1.9,2.0,3.9,.209,0.3,1.3,1.6,0.8
509,Ray Spalding,2019,2019,TOT,NBA,10.6,14,3,148,14.6,.064,.255,11.1,25.1,18.0,5.1,2.9,4.5,14.7,17.8,99,108,0.0,0.2,0.2,.051,-4.3,-0.8,-5.1,-0.1
510,Jacob Evans,2019,2020,TOT,NBA,10.5,59,2,622,4.8,.289,.160,2.6,8.9,5.7,11.7,1.2,2.1,15.2,16.2,86,115,-0.9,0.3,-0.6,-.047,-6.1,-1.3,-7.4,-0.8
511,Wade Baldwin,2017,2019,TOT,NBA,10.3,56,1,579,7.1,.213,.343,2.7,10.8,6.7,20.0,1.9,1.6,22.7,19.4,86,108,-1.0,0.6,-0.3,-.028,-5.4,0.1,-5.3,-0.5
512,Zylan Cheatham,2020,2020,NOP,NBA,10.3,3,0,31,0.1,.200,.000,3.4,17.1,10.2,7.9,0.0,2.7,37.5,10.5,67,114,-0.1,0.0,-0.1,-.080,-10.2,0.1,-10.2,-0.1
513,Deng Adel,2019,2019,CLE,NBA,10.2,19,3,194,2.7,.639,.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,85,121,-0.2,0.0,-0.2,-.054,-6.0,-1.6,-7.5,-0.3
514,Keldon Johnson,2020,2020,SAS,NBA,10.2,9,0,92,16.6,.161,.323,5.8,14.1,10.0,9.4,2.6,1.0,7.8,18.1,117,112,0.2,0.1,0.2,.119,-0.3,-0.6,-0.9,0.0
515,Adam Mokoka,2020,2020,CHI,NBA,10.2,11,0,112,8.2,.536,.143,6.6,3.1,4.9,5.0,1.7,0.0,6.3,12.1,115,114,0.1,0.1,0.2,.073,-3.1,-1.0,-4.1,-0.1
516,Chris Chiozza,2019,2020,TOT,NBA,10.1,28,0,282,12.2,.529,.023,2.6,12.3,7.4,25.5,2.7,0.9,17.0,15.7,106,111,0.1,0.3,0.4,.071,-1.1,1.6,0.5,0.2
517,Džanan Musa,2019,2020,BRK,NBA,10.1,44,0,443,8.1,.466,.286,4.8,12.7,8.8,10.8,1.6,0.2,15.4,20.2,91,110,-0.5,0.5,-0.1,-.008,-4.3,-0.8,-5.0,-0.3
518,Jaylen Nowell,2020,2020,MIN,NBA,10.1,15,0,151,10.5,.491,.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,109,117,0.1,0.0,0.2,.051,-2.9,-0.8,-3.7,-0.1
